,Open,High,Low,Close,Volume
1987-12-11 16:00:00-05:00,0.0,0.0,0.0,1.875,0
1987-12-14 16:00:00-05:00,0.0,1.875,1.875,1.875,100
1987-12-15 16:00:00-05:00,0.0,1.875,1.875,1.875,300
1987-12-16 16:00:00-05:00,0.0,0.0,0.0,1.875,0
1987-12-17 16:00:00-05:00,0.0,1.875,1.875,1.875,300
1987-12-18 16:00:00-05:00,0.0,0.0,0.0,1.875,0
1987-12-21 16:00:00-05:00,0.0,1.875,1.875,1.875,1200
1987-12-22 16:00:00-05:00,0.0,1.25,1.25,1.25,2400
1987-12-23 16:00:00-05:00,0.0,1.25,1.25,1.25,4200
1987-12-24 16:00:00-05:00,0.0,0.0,0.0,1.25,0
1987-12-28 16:00:00-05:00,0.0,1.25,1.25,1.25,400
1987-12-29 16:00:00-05:00,0.0,1.25,1.25,1.25,900
1987-12-30 16:00:00-05:00,0.0,1.25,1.25,1.25,1300
1987-12-31 16:00:00-05:00,0.0,1.25,1.25,1.25,1000
1988-01-04 16:00:00-05:00,0.0,0.0,0.0,1.25,0
1988-01-05 16:00:00-05:00,0.0,1.25,1.25,1.25,500
1988-01-06 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,12000
1988-01-07 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,500
1988-01-08 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,200
1988-01-11 16:00:00-05:00,0.0,0.0,0.0,1.5625,0
1988-01-12 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,400
1988-01-13 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,400
1988-01-14 16:00:00-05:00,0.0,0.0,0.0,1.5625,0
1988-01-15 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,800
1988-01-18 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,400
1988-01-19 16:00:00-05:00,0.0,0.0,0.0,1.5625,0
1988-01-20 16:00:00-05:00,0.0,0.0,0.0,1.5625,0
1988-01-21 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,700
1988-01-22 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,2400
1988-01-25 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,1000
1988-01-26 16:00:00-05:00,0.0,1.5625,1.5625,1.5625,100
1988-01-27 16:00:00-05:00,0.0,1.875,1.875,1.875,2400
1988-01-28 16:00:00-05:00,0.0,1.875,1.875,1.875,1300
1988-01-29 16:00:00-05:00,0.0,1.875,1.875,1.875,100
1988-02-01 16:00:00-05:00,0.0,0.0,0.0,1.875,0
1988-02-02 16:00:00-05:00,0.0,1.875,1.875,1.875,2000
1988-02-03 16:00:00-05:00,0.0,1.875,1.875,1.875,2200
1988-02-04 16:00:00-05:00,0.0,0.0,0.0,1.875,0
1988-02-05 16:00:00-05:00,0.0,0.0,0.0,1.875,0
1988-02-08 16:00:00-05:00,0.0,0.0,0.0,1.875,0
1988-02-09 16:00:00-05:00,0.0,0.0,0.0,1.875,0
