,Open,High,Low,Close,Volume
2015-10-29 16:00:00-04:00,9.75,9.76,9.5,9.5,12600
2015-10-30 16:00:00-04:00,9.47,9.47,9.45,9.45,2400
2015-11-17 16:00:00-05:00,9.73,9.75,9.73,9.75,1300
2015-11-30 16:00:00-05:00,9.82,9.82,9.82,9.82,100
2015-12-15 16:00:00-05:00,9.6,9.6,9.6,9.6,100000
2015-12-18 16:00:00-05:00,9.6799,9.85,9.48,9.74,44058
2015-12-21 16:00:00-05:00,9.65,9.85,9.6,9.78,71435
2015-12-22 16:00:00-05:00,9.66,10.19,9.58,9.84,116002
2015-12-23 16:00:00-05:00,9.54,9.54,9.54,9.54,100000
2015-12-31 16:00:00-05:00,10.0,10.0,9.9,9.9,700
2016-01-04 16:00:00-05:00,9.62,9.79,9.56,9.66,10700
2016-01-14 16:00:00-05:00,9.56,9.56,9.56,9.56,757142
2016-01-15 16:00:00-05:00,9.56,9.7,9.56,9.56,21200
2016-01-22 16:00:00-05:00,9.71,9.71,9.71,9.71,5000
2016-01-25 16:00:00-05:00,9.7,10.0,9.7,10.0,1329
2016-01-28 16:00:00-05:00,9.82,9.82,9.82,9.82,1000
2016-03-07 16:00:00-05:00,10.0,10.0,10.0,10.0,500
2016-03-08 16:00:00-05:00,9.82,9.82,9.61,9.62,2700
2016-03-09 16:00:00-05:00,9.82,9.82,9.82,9.82,5000
2016-04-01 16:00:00-04:00,9.68,9.68,9.68,9.68,130658
2016-04-04 16:00:00-04:00,9.85,9.85,9.85,9.85,1000
2016-04-08 16:00:00-04:00,9.6,9.8,9.6,9.6501,3300
2016-04-13 16:00:00-04:00,9.65,9.68,9.65,9.68,200
2016-04-14 16:00:00-04:00,9.53,9.85,9.51,9.7701,6300
2016-04-15 16:00:00-04:00,9.55,9.84,9.55,9.58,4600
2016-04-18 16:00:00-04:00,9.63,9.75,9.51,9.51,16000
2016-04-20 16:00:00-04:00,9.64,9.65,9.51,9.6,4611
2016-04-25 16:00:00-04:00,9.83,9.85,9.77,9.85,1100
2016-04-28 16:00:00-04:00,9.7,9.7,9.6,9.6,726
2016-04-29 16:00:00-04:00,9.84,9.84,9.84,9.84,100
2016-05-05 16:00:00-04:00,9.81,9.86,9.81,9.86,200
2016-05-10 16:00:00-04:00,9.61,9.61,9.61,9.61,200
2016-05-11 16:00:00-04:00,9.79,9.86,9.55,9.63,3800
2016-05-13 16:00:00-04:00,9.705,9.705,9.705,9.705,200
2016-05-16 16:00:00-04:00,9.6999,9.6999,9.5405,9.5405,1100
2016-05-17 16:00:00-04:00,9.86,9.86,9.58,9.67,2600
2016-05-24 16:00:00-04:00,9.85,9.85,9.8,9.8,400
2016-07-18 16:00:00-04:00,9.74,9.74,9.74,9.74,100000
2016-07-19 16:00:00-04:00,9.66,9.66,9.65,9.65,798
2016-07-25 16:00:00-04:00,9.8,9.8,9.8,9.8,300
2016-08-10 16:00:00-04:00,9.757,9.8,9.757,9.8,8000
2016-08-11 16:00:00-04:00,9.8,9.8,9.8,9.8,2200
2016-08-16 16:00:00-04:00,9.7923,9.7923,9.7923,9.7923,1100
2016-08-17 16:00:00-04:00,9.82,9.82,9.82,9.82,2800
2016-08-23 16:00:00-04:00,9.82,9.82,9.82,9.82,700
2016-08-26 16:00:00-04:00,9.7,9.7,9.7,9.7,210
2016-08-31 16:00:00-04:00,9.82,9.82,9.82,9.82,100
2016-09-01 16:00:00-04:00,9.8133,9.82,9.8133,9.82,1400
2016-09-06 16:00:00-04:00,9.75,9.75,9.75,9.75,154
2016-09-09 16:00:00-04:00,9.82,10.0,9.82,10.0,1400
2016-09-20 16:00:00-04:00,9.85,9.85,9.85,9.85,2900
2016-09-21 16:00:00-04:00,9.82,9.82,9.82,9.82,316
2016-09-26 16:00:00-04:00,9.8,9.8,9.8,9.8,237
2016-09-29 16:00:00-04:00,9.82,9.91,9.82,9.88,8962
2016-10-03 16:00:00-04:00,9.64,9.64,9.64,9.64,193
2016-10-04 16:00:00-04:00,9.82,9.83,9.82,9.83,1620
2016-10-05 16:00:00-04:00,9.79,9.79,9.75,9.75,404
2016-10-06 16:00:00-04:00,9.78,9.78,9.46,9.46,318
2016-10-07 16:00:00-04:00,9.78,9.79,9.78,9.79,420
2016-10-14 16:00:00-04:00,9.8,9.8,9.8,9.8,948
2016-10-17 16:00:00-04:00,9.81,9.81,9.8,9.8,622
2016-10-18 16:00:00-04:00,9.8,9.8,9.8,9.8,488
2016-10-19 16:00:00-04:00,9.8,9.8,9.8,9.8,482
2016-10-20 16:00:00-04:00,9.8,9.8,9.8,9.8,224
2016-10-31 16:00:00-04:00,9.9,9.9,9.9,9.9,500
2016-11-15 16:00:00-05:00,9.9,9.9001,9.88,9.9,3473
2016-11-16 16:00:00-05:00,9.8,9.86,9.8,9.86,65968
2016-11-17 16:00:00-05:00,9.9,9.94,9.9,9.93,3500
2016-11-18 16:00:00-05:00,9.85,9.85,9.85,9.85,200
