,Open,High,Low,Close,Volume
2017-05-25 16:00:00-04:00,16.0,17.2,16.0,16.5,8612687
2017-05-26 16:00:00-04:00,16.5,18.0,16.5,17.55,1730486
2017-05-30 16:00:00-04:00,17.46,18.0,17.25,17.77,962955
2017-05-31 16:00:00-04:00,17.84,18.38,17.51,18.37,768062
2017-06-01 16:00:00-04:00,18.4,18.83,17.89,18.08,1167621
2017-06-02 16:00:00-04:00,18.38,18.4646,17.84,18.0,824977
2017-06-05 16:00:00-04:00,17.95,18.0,17.26,17.75,315534
2017-06-06 16:00:00-04:00,17.7,17.7,17.11,17.15,173021
2017-06-07 16:00:00-04:00,17.11,17.2,16.71,16.74,370511
2017-06-08 16:00:00-04:00,16.72,17.3799,16.57,17.1,260234
2017-06-09 16:00:00-04:00,17.06,17.1,16.71,16.91,109358
2017-06-12 16:00:00-04:00,16.84,17.0,16.8,16.96,297717
2017-06-13 16:00:00-04:00,17.03,17.2,16.57,17.13,266371
2017-06-14 16:00:00-04:00,17.06,17.2,17.02,17.14,219773
2017-06-15 16:00:00-04:00,17.03,17.185,16.8395,17.12,140829
2017-06-16 16:00:00-04:00,17.15,17.59,17.02,17.59,217925
2017-06-19 16:00:00-04:00,17.7,17.86,17.08,17.83,704474
2017-06-20 16:00:00-04:00,17.83,17.8699,17.16,17.34,489528
2017-06-21 16:00:00-04:00,17.35,17.445,17.0,17.21,264609
2017-06-22 16:00:00-04:00,17.15,17.465,17.06,17.15,499353
2017-06-23 16:00:00-04:00,17.09,17.5,17.01,17.42,299372
2017-06-26 16:00:00-04:00,17.5,17.59,17.03,17.36,523091
2017-06-27 16:00:00-04:00,17.3,17.79,17.16,17.49,442910
2017-06-28 16:00:00-04:00,17.43,17.6,17.21,17.4,302951
2017-06-29 16:00:00-04:00,17.46,17.52,16.655,17.15,360305
2017-06-30 16:00:00-04:00,17.06,17.68,17.06,17.4,836797
2017-07-03 13:00:00-04:00,17.48,17.885,17.37,17.42,302286
2017-07-05 16:00:00-04:00,17.49,17.68,17.18,17.45,308565
2017-07-06 16:00:00-04:00,17.46,17.5,17.03,17.39,322338
2017-07-07 16:00:00-04:00,17.49,17.5,17.21,17.37,381311
2017-07-10 16:00:00-04:00,17.34,17.45,17.075,17.29,138914
2017-07-11 16:00:00-04:00,17.3,17.3,16.91,17.09,128546
2017-07-12 16:00:00-04:00,17.24,17.24,16.88,16.96,188212
2017-07-13 16:00:00-04:00,17.01,17.01,16.69,17.0,144308
2017-07-14 16:00:00-04:00,17.1,17.1,16.79,16.8,109979
2017-07-17 16:00:00-04:00,16.88,16.93,16.53,16.72,136621
2017-07-18 16:00:00-04:00,16.78,16.78,16.2,16.36,175084
2017-07-19 16:00:00-04:00,16.49,16.72,16.24,16.67,153224
2017-07-20 16:00:00-04:00,16.68,16.68,16.36,16.45,80259
2017-07-21 16:00:00-04:00,16.37,16.8,16.25,16.51,92848
2017-07-24 16:00:00-04:00,16.5,16.79,16.29,16.49,49097
2017-07-25 16:00:00-04:00,16.45,16.45,16.17,16.26,268438
2017-07-26 16:00:00-04:00,16.09,16.39,16.01,16.19,89629
2017-07-27 16:00:00-04:00,16.25,16.69,16.07,16.54,314333
2017-07-28 16:00:00-04:00,17.05,17.25,16.62,17.0,392845
2017-07-31 16:00:00-04:00,0.0,17.3,0.0,17.1,290609
2017-08-01 16:00:00-04:00,17.1,17.5,16.92,17.08,397828
2017-08-02 16:00:00-04:00,17.07,17.36,16.95,17.02,233005
2017-08-03 16:00:00-04:00,16.98,17.09,16.65,17.01,313137
2017-08-04 16:00:00-04:00,16.93,16.93,16.4225,16.62,202528
2017-08-07 16:00:00-04:00,16.54,16.69,16.35,16.67,404327
2017-08-08 16:00:00-04:00,16.64,16.87,16.51,16.55,142742
2017-08-09 16:00:00-04:00,16.63,16.75,16.345,16.65,142736
2017-08-10 16:00:00-04:00,16.69,16.9,16.48,16.51,64290
2017-08-11 16:00:00-04:00,16.37,16.81,16.29,16.45,126824
2017-08-14 16:00:00-04:00,16.55,16.7668,16.26,16.39,216807
2017-08-15 16:00:00-04:00,16.53,16.765,16.26,16.31,356163
2017-08-16 16:00:00-04:00,16.38,16.535,16.08,16.17,183860
2017-08-17 16:00:00-04:00,16.18,16.29,15.39,15.5,362019
2017-08-18 16:00:00-04:00,15.46,15.67,15.335,15.5,202665
2017-08-21 16:00:00-04:00,15.54,15.835,15.41,15.49,185826
2017-08-22 16:00:00-04:00,15.56,15.76,15.55,15.67,147381
2017-08-23 16:00:00-04:00,15.61,16.28,15.53,16.05,262742
2017-08-24 16:00:00-04:00,16.02,16.06,15.78,15.81,129099
2017-08-25 16:00:00-04:00,15.86,16.03,15.85,15.92,102860
2017-08-28 16:00:00-04:00,15.93,15.93,15.51,15.58,169200
2017-08-29 16:00:00-04:00,15.56,15.92,15.4879,15.66,111596
2017-08-30 16:00:00-04:00,15.58,16.12,15.58,16.0,138907
2017-08-31 16:00:00-04:00,15.95,16.43,15.95,16.04,307262
2017-09-01 16:00:00-04:00,16.01,16.2,15.85,15.99,133698
2017-09-05 16:00:00-04:00,15.91,16.15,15.91,16.08,276565
2017-09-06 16:00:00-04:00,16.0,16.5,15.94,16.47,246643
