,Open,High,Low,Close,Volume
2012-08-16 16:00:00-04:00,17.0,20.147,17.0,20.0,8686773
2012-08-17 16:00:00-04:00,19.78,19.95,19.2,19.49,1064874
2012-08-20 16:00:00-04:00,19.59,19.83,19.26,19.5,381629
2012-08-21 16:00:00-04:00,19.5,19.8,19.25,19.42,342326
2012-08-22 16:00:00-04:00,19.34,19.48,19.2,19.28,310701
2012-08-23 16:00:00-04:00,19.25,19.65,18.62,19.52,338118
2012-08-24 16:00:00-04:00,19.16,20.0799,19.15,19.4,401681
2012-08-27 16:00:00-04:00,19.6,19.6,19.15,19.4693,161618
2012-08-28 16:00:00-04:00,19.35,19.6,19.3,19.36,177080
2012-08-29 16:00:00-04:00,19.55,19.5599,19.38,19.44,90585
2012-08-30 16:00:00-04:00,19.5,19.5,19.26,19.26,112162
2012-08-31 16:00:00-04:00,19.5,19.5,19.31,19.4884,50074
2012-09-04 16:00:00-04:00,19.49,19.5,19.3176,19.39,78808
2012-09-05 16:00:00-04:00,19.49,19.99,19.4,19.76,343536
2012-09-06 16:00:00-04:00,19.8,20.42,19.571,20.3,392943
2012-09-07 16:00:00-04:00,20.4,20.69,20.09,20.52,150783
2012-09-10 16:00:00-04:00,20.95,21.8494,20.86,21.4,289595
2012-09-11 16:00:00-04:00,21.28,21.4,21.06,21.25,246582
2012-09-12 16:00:00-04:00,21.11,21.5,21.11,21.31,178612
2012-09-13 16:00:00-04:00,21.45,21.81,21.0,21.5,186968
2012-09-14 16:00:00-04:00,21.85,22.25,21.6,21.72,283145
2012-09-17 16:00:00-04:00,21.73,22.2,21.16,21.26,241069
2012-09-18 16:00:00-04:00,21.34,22.0,21.31,22.0,191935
2012-09-19 16:00:00-04:00,22.0,22.0,21.2,21.22,186276
2012-09-20 16:00:00-04:00,21.14,21.62,21.1,21.31,236992
2012-09-21 16:00:00-04:00,21.52,22.25,21.51,22.12,242991
2012-09-24 16:00:00-04:00,22.44,23.0,22.25,22.74,224277
2012-09-25 16:00:00-04:00,22.96,23.78,22.0,22.73,272926
2012-09-26 16:00:00-04:00,22.98,23.2095,21.77,21.93,280305
2012-09-27 16:00:00-04:00,22.31,22.66,21.51,21.91,278107
2012-09-28 16:00:00-04:00,21.75,22.08,21.62,22.0,143788
2012-10-01 16:00:00-04:00,22.0,22.0999,21.7,21.76,135235
2012-10-02 16:00:00-04:00,21.99,22.28,21.55,21.99,133565
2012-10-03 16:00:00-04:00,21.99,22.0399,21.6,21.61,74917
2012-10-04 16:00:00-04:00,21.85,22.27,21.55,21.84,174974
2012-10-05 16:00:00-04:00,21.86,22.099,21.18,21.31,137792
2012-10-08 16:00:00-04:00,21.44,21.6082,21.15,21.26,104257
2012-10-09 16:00:00-04:00,21.27,22.05,21.1996,21.81,89219
2012-10-10 16:00:00-04:00,21.81,22.05,21.16,21.66,91088
2012-10-11 16:00:00-04:00,21.81,21.95,21.43,21.46,70209
2012-10-12 16:00:00-04:00,21.59,21.65,20.82,21.2714,145939
2012-10-15 16:00:00-04:00,21.24,21.32,20.58,20.9,189125
2012-10-16 16:00:00-04:00,21.05,21.139,20.33,20.95,260989
2012-10-17 16:00:00-04:00,21.0,21.19,20.95,21.08,113571
2012-10-18 16:00:00-04:00,20.99,21.15,20.82,20.92,88802
2012-10-19 16:00:00-04:00,20.9,21.139,20.6201,21.05,66276
2012-10-22 16:00:00-04:00,21.0,21.0899,20.56,21.04,71192
2012-10-23 16:00:00-04:00,20.85,21.034,20.7001,20.97,78266
2012-10-24 16:00:00-04:00,21.0,21.19,20.78,20.85,120177
2012-10-25 16:00:00-04:00,21.0,21.24,20.8,20.87,239975
2012-10-26 16:00:00-04:00,20.88,21.26,20.76,20.78,129908
2012-10-31 16:00:00-04:00,21.0,21.1799,20.5,20.5,101134
2012-11-01 16:00:00-04:00,21.0,21.06,20.66,20.88,90529
2012-11-02 16:00:00-04:00,21.0,21.15,20.56,20.64,105785
2012-11-05 16:00:00-05:00,20.66,20.985,20.66,20.82,75572
2012-11-06 16:00:00-05:00,20.95,21.03,20.44,20.47,110123
2012-11-07 16:00:00-05:00,20.47,20.6377,19.861,20.16,137039
2012-11-08 16:00:00-05:00,20.09,21.15,19.95,20.82,134296
2012-11-09 16:00:00-05:00,21.25,21.39,20.75,20.79,255231
2012-11-12 16:00:00-05:00,20.99,21.47,20.1,20.35,147013
2012-11-13 16:00:00-05:00,16.0,16.5,13.21,15.0,3372673
2012-11-14 16:00:00-05:00,15.02,15.879,15.0,15.29,736724
2012-11-15 16:00:00-05:00,15.2,15.95,15.1,15.53,227076
2012-11-16 16:00:00-05:00,15.63,16.89,15.63,16.55,218152
2012-11-19 16:00:00-05:00,16.7,17.31,16.14,16.4,243639
2012-11-20 16:00:00-05:00,16.4,16.56,16.25,16.315,112406
2012-11-21 16:00:00-05:00,16.47,16.47,16.0,16.01,123520
2012-11-23 13:00:00-05:00,16.4,16.4,15.26,15.51,164699
2012-11-26 16:00:00-05:00,15.5,15.64,14.81,14.94,326702
2012-11-27 16:00:00-05:00,14.72,15.34,14.52,14.9,250311
2012-11-28 16:00:00-05:00,14.69,14.89,14.52,14.63,315619
2012-11-29 16:00:00-05:00,14.83,15.36,14.704,15.25,216979
2012-11-30 16:00:00-05:00,15.39,15.66,15.1001,15.44,152409
2012-12-03 16:00:00-05:00,15.47,16.1,15.47,15.98,66323
2012-12-04 16:00:00-05:00,16.04,16.6,15.83,16.371,119010
2012-12-05 16:00:00-05:00,16.4,16.7,16.2201,16.48,119729
2012-12-06 16:00:00-05:00,16.41,16.57,16.15,16.22,102910
2012-12-07 16:00:00-05:00,16.3699,16.3699,15.6,15.7,136350
2012-12-10 16:00:00-05:00,15.61,15.6594,15.32,15.5,111745
2012-12-11 16:00:00-05:00,15.52,15.54,15.0,15.09,150377
2012-12-12 16:00:00-05:00,15.96,16.09,15.38,15.4,162206
2012-12-13 16:00:00-05:00,15.448,15.48,14.9,15.02,136815
2012-12-14 16:00:00-05:00,15.1699,15.1699,14.59,14.72,129772
2012-12-17 16:00:00-05:00,14.72,14.91,14.28,14.79,181939
2012-12-18 16:00:00-05:00,14.77,14.83,14.26,14.42,197079
2012-12-19 16:00:00-05:00,14.36,14.64,14.01,14.59,193043
2012-12-20 16:00:00-05:00,14.56,15.02,14.55,14.88,116629
2012-12-21 16:00:00-05:00,14.4,15.06,14.37,14.9,92014
2012-12-24 13:00:00-05:00,14.9,15.23,14.65,15.229,38472
2012-12-26 16:00:00-05:00,15.25,15.51,14.9,15.02,87263
2012-12-27 16:00:00-05:00,14.92,15.415,14.8,14.84,126010
2012-12-28 16:00:00-05:00,14.66,14.95,14.49,14.8531,85080
2012-12-31 16:00:00-05:00,14.79,15.18,14.61,15.09,201883
2013-01-02 16:00:00-05:00,15.45,15.6299,15.26,15.48,149060
2013-01-03 16:00:00-05:00,15.62,15.72,15.51,15.58,88337
2013-01-04 16:00:00-05:00,15.55,15.81,15.43,15.57,427955
2013-01-07 16:00:00-05:00,15.62,15.7689,15.53,15.64,117341
2013-01-08 16:00:00-05:00,15.75,15.855,15.67,15.79,128091
2013-01-09 16:00:00-05:00,15.83,15.9,15.7903,15.81,77144
2013-01-10 16:00:00-05:00,15.87,16.05,15.8,16.01,102771
2013-01-11 16:00:00-05:00,16.0,16.0999,15.85,16.0,105720
2013-01-14 16:00:00-05:00,16.03,16.5,16.0,16.39,637649
2013-01-15 16:00:00-05:00,16.42,16.73,15.0,16.18,542545
2013-01-16 16:00:00-05:00,16.3,16.36,16.0,16.18,168079
2013-01-17 16:00:00-05:00,16.25,16.58,16.2,16.52,131038
2013-01-18 16:00:00-05:00,16.59,17.61,16.57,17.0,377649
2013-01-22 16:00:00-05:00,17.26,18.09,17.2503,17.67,231873
2013-01-23 16:00:00-05:00,17.67,18.22,17.67,18.05,169700
2013-01-24 16:00:00-05:00,18.4,18.4,18.0,18.16,142467
2013-01-25 16:00:00-05:00,18.28,19.14,18.18,18.96,171664
2013-01-28 16:00:00-05:00,18.95,18.96,18.17,18.34,228418
2013-01-29 16:00:00-05:00,18.34,18.34,18.0199,18.11,154571
2013-01-30 16:00:00-05:00,17.68,17.99,17.27,17.34,114541
2013-01-31 16:00:00-05:00,17.44,17.5,16.67,16.91,282032
2013-02-01 16:00:00-05:00,16.65,18.13,16.58,17.65,281904
2013-02-04 16:00:00-05:00,17.55,17.79,17.26,17.5,183820
2013-02-05 16:00:00-05:00,17.33,17.73,17.31,17.52,136178
2013-02-06 16:00:00-05:00,17.52,17.61,17.36,17.47,92007
2013-02-07 16:00:00-05:00,17.4,17.9,17.36,17.87,101225
2013-02-08 16:00:00-05:00,17.75,17.8499,17.43,17.52,112209
2013-02-11 16:00:00-05:00,17.77,17.944,17.45,17.5,122230
2013-02-12 16:00:00-05:00,17.64,17.64,17.4,17.43,69413
2013-02-13 16:00:00-05:00,17.43,17.71,17.35,17.4,136302
2013-02-14 16:00:00-05:00,17.35,17.64,17.35,17.54,117007
2013-02-15 16:00:00-05:00,17.73,17.83,17.4,17.545,110546
2013-02-19 16:00:00-05:00,17.85,18.0,17.45,17.63,190609
2013-02-20 16:00:00-05:00,17.6,17.71,17.4,17.51,102487
2013-02-21 16:00:00-05:00,17.49,17.6,17.11,17.6,131680
2013-02-22 16:00:00-05:00,17.5,17.9,17.4,17.59,87594
2013-02-25 16:00:00-05:00,17.8,17.8,17.27,17.37,90362
2013-02-26 16:00:00-05:00,17.4,18.96,17.29,18.73,319102
2013-02-27 16:00:00-05:00,18.98,19.66,18.56,19.46,272557
2013-02-28 16:00:00-05:00,19.43,19.82,18.5,18.75,179112
2013-03-01 16:00:00-05:00,18.97,18.97,18.27,18.4748,111245
2013-03-04 16:00:00-05:00,18.34,18.69,18.2,18.2,141961
2013-03-05 16:00:00-05:00,18.5,18.9156,18.21,18.31,288350
2013-03-06 16:00:00-05:00,18.42,18.5,18.11,18.13,163083
2013-03-07 16:00:00-05:00,18.26,18.8,18.25,18.7,196484
2013-03-08 16:00:00-05:00,18.69,19.04,18.631,18.82,249119
2013-03-11 16:00:00-04:00,18.82,18.86,18.4,18.43,76967
2013-03-12 16:00:00-04:00,18.5,18.5,18.35,18.5,130592
2013-03-13 16:00:00-04:00,18.5,18.5,18.1503,18.44,102653
2013-03-14 16:00:00-04:00,18.48,18.579,18.32,18.35,81309
2013-03-15 16:00:00-04:00,18.43,18.5,18.3101,18.44,178031
2013-03-18 16:00:00-04:00,18.59,18.7,18.23,18.29,114295
2013-03-19 16:00:00-04:00,18.36,18.51,18.31,18.33,122982
