,Open,High,Low,Close,Volume
2014-04-04 16:00:00-04:00,7.95,9.35,7.18,7.64,5521156
2014-04-07 16:00:00-04:00,7.82,7.82,7.09,7.11,703221
2014-04-08 16:00:00-04:00,7.15,7.2899,7.06,7.1,428479
2014-04-09 16:00:00-04:00,7.07,7.18,7.0601,7.12,302897
2014-04-10 16:00:00-04:00,7.1,7.28,7.1,7.27,123408
2014-04-11 16:00:00-04:00,7.06,7.37,6.84,7.37,200171
2014-04-14 16:00:00-04:00,7.44,7.45,7.19,7.36,110935
2014-04-15 16:00:00-04:00,7.4,7.85,7.16,7.8,154180
2014-04-16 16:00:00-04:00,7.91,7.92,7.73,7.73,42793
2014-04-17 16:00:00-04:00,7.67,7.79,7.44,7.55,135521
2014-04-21 16:00:00-04:00,7.6,7.65,7.03,7.13,161312
2014-04-22 16:00:00-04:00,7.15,7.45,7.02,7.39,213225
2014-04-23 16:00:00-04:00,7.42,7.42,7.16,7.24,181054
2014-04-24 16:00:00-04:00,7.16,7.22,6.97,7.05,232897
2014-04-25 16:00:00-04:00,7.1,7.1,6.9,6.95,168949
2014-04-28 16:00:00-04:00,6.9,7.05,6.34,6.58,483635
2014-04-29 16:00:00-04:00,6.79,7.16,6.75,6.98,531732
2014-04-30 16:00:00-04:00,7.02,7.15,6.96,7.13,236652
2014-05-01 16:00:00-04:00,7.27,7.27,6.99,7.08,187925
2014-05-02 16:00:00-04:00,7.26,7.26,6.98,7.0,141014
2014-05-05 16:00:00-04:00,7.0,7.14,7.0,7.04,93871
2014-05-06 16:00:00-04:00,7.0,7.08,6.75,6.83,550877
2014-05-07 16:00:00-04:00,6.93,6.96,6.54,6.55,289124
2014-05-08 16:00:00-04:00,6.45,6.72,5.88,5.96,107411
2014-05-09 16:00:00-04:00,5.97,5.97,5.12,5.56,260239
2014-05-12 16:00:00-04:00,5.42,5.91,5.32,5.74,86136
2014-05-13 16:00:00-04:00,5.89,5.89,5.46,5.6,67510
2014-05-14 16:00:00-04:00,6.36,6.36,5.2,5.68,275761
2014-05-15 16:00:00-04:00,5.66,5.92,5.66,5.84,70773
2014-05-16 16:00:00-04:00,5.77,5.9,5.67,5.7,57754
2014-05-19 16:00:00-04:00,5.75,6.05,5.5666,6.05,66152
2014-05-20 16:00:00-04:00,6.08,6.7,6.04,6.68,196052
2014-05-21 16:00:00-04:00,6.48,6.78,6.37,6.72,75051
2014-05-22 16:00:00-04:00,6.76,6.96,6.63,6.82,63924
2014-05-23 16:00:00-04:00,6.87,6.93,6.73,6.74,51284
2014-05-27 16:00:00-04:00,6.74,6.7858,6.5,6.64,74501
2014-05-28 16:00:00-04:00,6.5724,6.83,6.5724,6.8,64909
2014-05-29 16:00:00-04:00,6.72,7.0446,6.7,7.04,59103
2014-05-30 16:00:00-04:00,6.9398,7.6,6.9398,7.49,182136
2014-06-02 16:00:00-04:00,7.39,7.7,7.3,7.38,95988
2014-06-03 16:00:00-04:00,7.32,7.39,7.09,7.12,51324
2014-06-04 16:00:00-04:00,7.15,7.26,7.02,7.04,71769
2014-06-05 16:00:00-04:00,7.09,7.48,7.05,7.14,103060
2014-06-06 16:00:00-04:00,7.12,7.5,7.08,7.4,95103
2014-06-09 16:00:00-04:00,7.36,8.2,7.36,8.03,192890
2014-06-10 16:00:00-04:00,8.09,8.1,7.87,7.98,183673
2014-06-11 16:00:00-04:00,7.864,8.06,7.8,8.01,143960
2014-06-12 16:00:00-04:00,7.89,8.14,7.85,7.95,158150
2014-06-13 16:00:00-04:00,7.81,7.99,7.53,7.88,98216
2014-06-16 16:00:00-04:00,7.91,8.1,7.8,7.9,104849
2014-06-17 16:00:00-04:00,7.86,7.93,7.53,7.92,124837
2014-06-18 16:00:00-04:00,7.95,7.99,7.69,7.87,211243
2014-06-19 16:00:00-04:00,7.91,7.93,7.7,7.81,125876
2014-06-20 16:00:00-04:00,7.86,7.98,7.22,7.27,504188
2014-06-23 16:00:00-04:00,7.34,7.45,6.84,6.9,274445
2014-06-24 16:00:00-04:00,6.87,7.09,6.83,6.91,110997
2014-06-25 16:00:00-04:00,6.87,6.96,6.62,6.67,82857
2014-06-26 16:00:00-04:00,6.54,6.81,6.31,6.73,104005
2014-06-27 16:00:00-04:00,6.75,7.13,6.58,6.7,1509840
2014-06-30 16:00:00-04:00,6.75,7.23,6.55,7.2,149450
2014-07-01 16:00:00-04:00,7.2,7.2015,6.73,6.77,171735
2014-07-02 16:00:00-04:00,6.8,6.96,6.73,6.74,58651
2014-07-03 16:00:00-04:00,6.75,7.0,6.73,6.98,29209
2014-07-07 16:00:00-04:00,6.99,7.13,6.75,7.04,109256
2014-07-08 16:00:00-04:00,7.0,7.15,6.77,6.95,116603
2014-07-09 16:00:00-04:00,6.94,6.98,6.845,6.9,65938
2014-07-10 16:00:00-04:00,6.8,7.05,6.8,6.88,58392
2014-07-11 16:00:00-04:00,6.86,6.95,6.7,6.78,115142
2014-07-14 16:00:00-04:00,6.78,7.01,6.76,7.0,72116
2014-07-15 16:00:00-04:00,6.97,7.01,6.85,6.94,79809
2014-07-16 16:00:00-04:00,6.96,7.06,6.95,6.97,56016
2014-07-17 16:00:00-04:00,6.97,7.02,6.77,6.99,60873
2014-07-18 16:00:00-04:00,6.9,7.25,6.9,7.25,58107
2014-07-21 16:00:00-04:00,7.25,7.5,7.12,7.39,86439
2014-07-22 16:00:00-04:00,7.4,7.69,7.37,7.64,60595
2014-07-23 16:00:00-04:00,7.59,7.63,7.33,7.37,50365
2014-07-24 16:00:00-04:00,7.41,7.42,7.11,7.3,94612
2014-07-25 16:00:00-04:00,7.24,7.98,7.24,7.81,187478
2014-07-28 16:00:00-04:00,7.84,7.93,7.52,7.75,270107
2014-07-29 16:00:00-04:00,7.79,7.85,7.67,7.7,89896
2014-07-30 16:00:00-04:00,7.85,7.85,7.66,7.73,90984
2014-07-31 16:00:00-04:00,7.74,7.74,7.26,7.28,147629
2014-08-01 16:00:00-04:00,7.29,7.362,6.94,7.23,150999
2014-08-04 16:00:00-04:00,7.32,7.64,7.21,7.62,198028
2014-08-05 16:00:00-04:00,5.8,6.66,5.8,6.58,499866
2014-08-06 16:00:00-04:00,6.53,6.58,6.09,6.42,209738
2014-08-07 16:00:00-04:00,6.41,6.411,6.02,6.05,192534
2014-08-08 16:00:00-04:00,6.03,6.24,5.65,6.2,236778
2014-08-11 16:00:00-04:00,6.23,6.41,6.188,6.29,86495
2014-08-12 16:00:00-04:00,6.25,6.35,6.19,6.33,61216
2014-08-13 16:00:00-04:00,6.33,6.39,6.19,6.35,50320
2014-08-14 16:00:00-04:00,6.33,6.33,6.05,6.17,90865
2014-08-15 16:00:00-04:00,6.23,6.23,6.01,6.17,61158
2014-08-18 16:00:00-04:00,6.21,6.238,6.01,6.15,56557
2014-08-19 16:00:00-04:00,6.15,6.23,5.9,5.92,98303
2014-08-20 16:00:00-04:00,6.03,6.05,5.905,6.02,60503
2014-08-21 16:00:00-04:00,6.04,6.04,5.94,5.95,28216
2014-08-22 16:00:00-04:00,5.98,6.14,5.85,6.04,93005
2014-08-25 16:00:00-04:00,6.04,6.045,5.93,5.96,49757
2014-08-26 16:00:00-04:00,5.95,6.14,5.925,6.09,41819
2014-08-27 16:00:00-04:00,6.1,6.1,5.93,5.96,39556
2014-08-28 16:00:00-04:00,5.95,5.992,5.81,5.81,46517
2014-08-29 16:00:00-04:00,5.81,5.95,5.81,5.87,53820
2014-09-02 16:00:00-04:00,5.88,5.94,5.84,5.93,49973
2014-09-03 16:00:00-04:00,5.93,5.9601,5.89,5.9,38822
2014-09-04 16:00:00-04:00,5.95,5.95,5.765,5.8,53782
2014-09-05 16:00:00-04:00,5.76,6.04,5.72,6.01,81550
2014-09-08 16:00:00-04:00,5.89,6.05,5.86,5.925,48462
2014-09-09 16:00:00-04:00,5.92,5.9699,5.72,5.76,67163
2014-09-10 16:00:00-04:00,5.79,5.94,5.79,5.93,25050
2014-09-11 16:00:00-04:00,5.9,6.03,5.815,6.0,30619
2014-09-12 16:00:00-04:00,5.99,6.18,5.95,6.01,63399
2014-09-15 16:00:00-04:00,6.04,6.05,5.96,5.99,53744
2014-09-16 16:00:00-04:00,5.97,6.1,5.96,6.0,50663
2014-09-17 16:00:00-04:00,6.12,6.24,6.0,6.01,46090
