,Open,High,Low,Close,Volume
2017-05-12 16:00:00-04:00,21.25,21.3,20.27,21.1,10933718
2017-05-15 16:00:00-04:00,21.01,22.3,21.01,22.02,3487278
2017-05-16 16:00:00-04:00,22.19,22.41,22.05,22.1,1289339
2017-05-17 16:00:00-04:00,22.15,22.51,21.67,22.1,1583699
2017-05-18 16:00:00-04:00,22.19,23.63,21.98,22.5,4075173
2017-05-19 16:00:00-04:00,22.56,23.49,22.32,22.72,1248618
2017-05-22 16:00:00-04:00,22.8,23.09,22.52,22.89,383071
2017-05-23 16:00:00-04:00,22.99,23.61,22.65,23.45,703985
2017-05-24 16:00:00-04:00,23.54,23.593,23.01,23.35,408791
2017-05-25 16:00:00-04:00,23.42,23.82,22.31,22.51,1080743
2017-05-26 16:00:00-04:00,22.55,23.24,22.355,23.03,721073
2017-05-30 16:00:00-04:00,23.0,23.29,22.59,22.95,843125
2017-05-31 16:00:00-04:00,22.97,23.18,22.67,22.93,484429
2017-06-01 16:00:00-04:00,22.91,23.4345,22.81,22.93,486400
2017-06-02 16:00:00-04:00,22.89,23.1,22.6,22.65,546591
2017-06-05 16:00:00-04:00,22.61,22.91,21.92,22.63,422153
2017-06-06 16:00:00-04:00,21.83,22.71,21.83,22.29,1089496
2017-06-07 16:00:00-04:00,22.4,22.79,21.57,21.76,733543
2017-06-08 16:00:00-04:00,21.75,21.93,21.61,21.65,432553
2017-06-09 16:00:00-04:00,21.68,22.82,21.68,22.49,565863
2017-06-12 16:00:00-04:00,22.46,23.58,21.89,23.03,826169
2017-06-13 16:00:00-04:00,22.99,24.24,22.8,23.49,927265
2017-06-14 16:00:00-04:00,23.57,23.71,22.55,23.25,1988480
2017-06-15 16:00:00-04:00,23.08,24.55,22.77,22.99,1510315
2017-06-16 16:00:00-04:00,23.0,24.0,23.0,23.92,2465627
2017-06-19 16:00:00-04:00,24.06,24.21,23.54,23.92,460198
2017-06-20 16:00:00-04:00,23.72,23.72,22.21,22.62,1043702
2017-06-21 16:00:00-04:00,22.54,22.745,20.63,20.72,1275376
2017-06-22 16:00:00-04:00,20.72,21.07,19.91,21.06,1321878
2017-06-23 16:00:00-04:00,21.03,21.105,20.2401,20.47,3690385
2017-06-26 16:00:00-04:00,20.42,21.05,20.08,20.5,790772
2017-06-27 16:00:00-04:00,20.56,21.63,20.42,21.29,1029076
2017-06-28 16:00:00-04:00,21.28,21.64,21.14,21.27,737567
2017-06-29 16:00:00-04:00,21.33,21.54,21.04,21.43,796188
2017-06-30 16:00:00-04:00,21.54,21.74,21.24,21.61,250831
2017-07-03 13:00:00-04:00,21.75,22.4,21.39,22.34,396507
2017-07-05 16:00:00-04:00,22.38,22.41,21.76,21.82,765815
2017-07-06 16:00:00-04:00,21.61,21.61,20.895,20.97,1184427
2017-07-07 16:00:00-04:00,20.99,21.22,20.58,20.67,953857
2017-07-10 16:00:00-04:00,20.63,21.48,20.55,21.34,826888
2017-07-11 16:00:00-04:00,21.23,21.8,21.02,21.73,656134
2017-07-12 16:00:00-04:00,21.78,22.34,21.73,22.13,1091807
2017-07-13 16:00:00-04:00,22.11,22.26,21.86,22.06,1577730
2017-07-14 16:00:00-04:00,22.13,22.29,21.99,22.08,211254
2017-07-17 16:00:00-04:00,22.06,23.12,21.9225,22.97,1357054
2017-07-18 16:00:00-04:00,22.83,23.21,22.81,23.04,962684
2017-07-19 16:00:00-04:00,23.03,23.42,23.0,23.42,742424
2017-07-20 16:00:00-04:00,23.41,23.62,23.0,23.55,454431
2017-07-21 16:00:00-04:00,23.44,23.69,22.82,23.01,1163239
2017-07-24 16:00:00-04:00,22.93,23.15,22.71,23.14,724428
2017-07-25 16:00:00-04:00,23.28,23.56,22.99,23.45,1832279
2017-07-26 16:00:00-04:00,23.6,23.6,22.64,22.82,781210
2017-07-27 16:00:00-04:00,22.81,23.25,22.745,23.23,314159
2017-07-28 16:00:00-04:00,23.08,23.22,22.88,23.09,260792
2017-07-31 16:00:00-04:00,0.0,0.0,0.0,22.96,536924
2017-08-01 16:00:00-04:00,23.0,23.0,22.39,22.5,998199
2017-08-02 16:00:00-04:00,22.5,23.13,22.5,23.02,1444358
